year,type,alat_tangkap,jumlah,,,,,
2021,manyung,lainnya,,,,,,
2021,cumi_cumi,lainnya,72783,,,,,
2021,bawal_hitam,lainnya,,,,,,
2021,beloso,lainnya,13071,,,,,
2021,ekor_kuning,lainnya,49,,,,,
2021,rajungan,lainnya,12715,,,,,
2021,kurisi,lainnya,10438,,,,,
2021,pari,lainnya,2032,,,,,
2021,layaran,lainnya,0,,,,,
2021,sotong,lainnya,15311,,,,,
2021,bawal_putih,lainnya,43.2,,,,,
2021,gulamah,lainnya,25707,,,,,
2021,ikan_sebelah,lainnya,2508,,,,,
2021,kuniran,lainnya,223821.8,,,,,
2021,udang_jerbung,lainnya,8102,,,,,
2021,japuh,lainnya,2322,,,,,
2021,tetengkek,lainnya,0,,,,,
2021,cendro,lainnya,73,,,,,
2021,golok_golok,lainnya,15.4,,,,,
2021,talang_talang,lainnya,535,,,,,
2021,kerong_kerong,lainnya,16247,,,,,
2021,gurita,lainnya,,,,,,
2021,bentong,lainnya,,,,,,
2021,selanget,lainnya,45.2,,,,,
2021,gerot_gerot,lainnya,201.7,,,,,
2021,kakap_putih,lainnya,33.8,,,,,
2021,udang_lainnya,lainnya,0,,,,,
2021,beronang,lainnya,29,,,,,
2021,kuro,lainnya,8,,,,,
2021,alu_alu,lainnya,1137.6,,,,,
2021,teri_nasi,lainnya,482,,,,,
2021,ikan_terbang,lainnya,0,,,,,
2021,semar,lainnya,1686.9,,,,,
2021,jenaha,lainnya,1.3,,,,,
2021,udang_dogol,lainnya,,,,,,
2021,sembilang,lainnya,716,,,,,
2021,udang_kipas,lainnya,,,,,,
